Gm16041_1	158ES_OS25_embryonic_stem_cells_KD_for_exosomal_component_EXOSC3.plus	270Hepatocytes_sham_operation.plus	160ES_OS25_embryonic_stem_cells_KD_for_exosomal_component_EXOSC5.plus	264Hepatocytes_partial_hepatectomy_30hr.plus	330J2E_erythroblastic_leukemia_response_to_erythropoietin_03hr00min.plus	262Hepatocytes_partial_hepatectomy_02hr.plus	328J2E_erythroblastic_leukemia_response_to_erythropoietin_02hr30min.plus	640Mouse_hepatocyte.plus	320J2E_erythroblastic_leukemia_response_to_erythropoietin_01hr00min.plus	318J2E_erythroblastic_leukemia_response_to_erythropoietin_00hr45min.plus	106EBF_KO_HPCs_induced_to_T_cell_00hr00min.plus	132EBF_KO_HPCs_induced_to_T_cell_day05.plus	144ES_46C_embryonic_stem_cells_neuronal_differentiation_day01.plus	166ES_OS25_embryonic_stem_cells_scrambled_siRNA_control.plus	168ES_OS25_embryonic_stem_cells_untreated_control.plus	324J2E_erythroblastic_leukemia_response_to_erythropoietin_01hr40min.plus	486Macrophage_TB_infection_stimulated_BMDMIL_13_aaMph_with_Mtb_036hr_012h_after_stimulation_.plus	624Mouse_Neurons_striatal.plus	120EBF_KO_HPCs_induced_to_T_cell_10hr.plus	142ES_46C_embryonic_stem_cells_neuronal_differentiation_day00.plus
4732440D04Rik_1	37CD41_megakaryocyte_control.minus	589Mouse_Aortic_Smooth_Muscle_cells_differentiated.minus	355Kidney_neonate_N10.minus	923Tracheal_epithelial_cells_differentiation_to_ciliated_epithelial_cells_120hr.minus	533Macrophage_TB_infection_stimulated_BMDMIL_4IL_13_aaMph_without_Mtb_024hr.minus	909Tracheal_epithelial_cells_differentiation_to_ciliated_epithelial_cells_048hr.minus	469Macrophage_TB_infection_stimulated_BMDMIFNg_caMph_without_Mtb_024hr.minus	791Skin_neonate_N03.minus	883Thymus_neonate_N25.minus	439Macrophage_TB_infection_non_stimulated_BMDM_without_Mtb_024hr.minus	67Cerebellum_embryo_E14.minus	903Tracheal_epithelial_cells_differentiation_to_ciliated_epithelial_cells_030hr.minus	39CD4CD25_CD44_naive_conventional_T_cells.minus	921Tracheal_epithelial_cells_differentiation_to_ciliated_epithelial_cells_096hr.minus	901Tracheal_epithelial_cells_differentiation_to_ciliated_epithelial_cells_024hr.minus	897Tracheal_epithelial_cells_differentiation_to_ciliated_epithelial_cells_016hr.minus	187Eyeball_neonate_N00.minus	357Kidney_neonate_N20.minus	899Tracheal_epithelial_cells_differentiation_to_ciliated_epithelial_cells_020hr.minus	63Cerebellum_embryo_E12.minus
Gm26901_1	135ES_46C_derived_epistem_cells.minus	157ES_OS25_embryonic_stem_cells_KD_for_exosomal_component_EXOSC3.minus	533Macrophage_TB_infection_stimulated_BMDMIL_4IL_13_aaMph_without_Mtb_024hr.minus	161ES_OS25_embryonic_stem_cells_aminitin_treatment_for_7hr.minus	159ES_OS25_embryonic_stem_cells_KD_for_exosomal_component_EXOSC5.minus	489Macrophage_TB_infection_stimulated_BMDMIL_13_aaMph_with_Mtb_072hr_048h_after_stimulation_.minus	143ES_46C_embryonic_stem_cells_neuronal_differentiation_day01.minus	563Macrophage_TB_infection_stimulated_BMDMIL_4_aaMph_without_Mtb_024hr.minus	551Macrophage_TB_infection_stimulated_BMDMIL_4_aaMph_with_Mtb_072hr_048h_after_stimulation_.minus	545Macrophage_TB_infection_stimulated_BMDMIL_4_aaMph_with_Mtb_028hr_004h_after_stimulation_.minus	165ES_OS25_embryonic_stem_cells_scrambled_siRNA_control.minus	517Macrophage_TB_infection_stimulated_BMDMIL_4IL_13_aaMph_with_Mtb_048hr_024h_after_stimulation_.minus	439Macrophage_TB_infection_non_stimulated_BMDM_without_Mtb_024hr.minus	513Macrophage_TB_infection_stimulated_BMDMIL_4IL_13_aaMph_with_Mtb_028hr_004h_after_stimulation_.minus	979Visual_cortex_Mecp_knockout_neonate_N15.minus	43CD4CD25_CD44_naive_conventional_T_cells_antiCD3_CD28_stimulation_06hr.minus	547Macrophage_TB_infection_stimulated_BMDMIL_4_aaMph_with_Mtb_036hr_012h_after_stimulation_.minus	469Macrophage_TB_infection_stimulated_BMDMIFNg_caMph_without_Mtb_024hr.minus	627Mouse_Neurons_ventral_spinal_cord.minus	149ES_46C_embryonic_stem_cells_neuronal_differentiation_day04.minus
2610203C22Rik_1	533Macrophage_TB_infection_stimulated_BMDMIL_4IL_13_aaMph_without_Mtb_024hr.minus	519Macrophage_TB_infection_stimulated_BMDMIL_4IL_13_aaMph_with_Mtb_072hr_048h_after_stimulation_.minus	439Macrophage_TB_infection_non_stimulated_BMDM_without_Mtb_024hr.minus	471Macrophage_TB_infection_stimulated_BMDMIFNg_caMph_without_Mtb_028hr.minus	551Macrophage_TB_infection_stimulated_BMDMIL_4_aaMph_with_Mtb_072hr_048h_after_stimulation_.minus	563Macrophage_TB_infection_stimulated_BMDMIL_4_aaMph_without_Mtb_024hr.minus	505Macrophage_TB_infection_stimulated_BMDMIL_13_aaMph_without_Mtb_036hr.minus	549Macrophage_TB_infection_stimulated_BMDMIL_4_aaMph_with_Mtb_048hr_024h_after_stimulation_.minus	469Macrophage_TB_infection_stimulated_BMDMIFNg_caMph_without_Mtb_024hr.minus	507Macrophage_TB_infection_stimulated_BMDMIL_13_aaMph_without_Mtb_048hr.minus	575Macrophage_bone_marrow_derived.minus	441Macrophage_TB_infection_non_stimulated_BMDM_without_Mtb_028hr.minus	437Macrophage_TB_infection_non_stimulated_BMDM_without_Mtb_012hr.minus	531Macrophage_TB_infection_stimulated_BMDMIL_4IL_13_aaMph_without_Mtb_012hr.minus	553Macrophage_TB_infection_stimulated_BMDMIL_4_aaMph_with_Mtb_120hr_096h_after_stimulation_.minus	501Macrophage_TB_infection_stimulated_BMDMIL_13_aaMph_without_Mtb_024hr.minus	429Macrophage_TB_infection_non_stimulated_BMDM_with_Mtb_072hr_048h_after_stimulation_.minus	497Macrophage_TB_infection_stimulated_BMDMIL_13_aaMph_without_Mtb_006hr.minus	503Macrophage_TB_infection_stimulated_BMDMIL_13_aaMph_without_Mtb_028hr.minus	517Macrophage_TB_infection_stimulated_BMDMIL_4IL_13_aaMph_with_Mtb_048hr_024h_after_stimulation_.minus
1700034P13Rik_1	810Spleen_neonate_N20.plus	366Liver_embryo_E12.plus	372Liver_embryo_E15.plus	808Spleen_neonate_N10.plus	368Liver_embryo_E13.plus	370Liver_embryo_E14.plus	374Liver_embryo_E16.plus	812Spleen_neonate_N25.plus	376Liver_embryo_E17.plus	802Spleen_adult.plus	36CD41_megakaryocyte_cancer.plus	806Spleen_embryo_E18.plus	338J2E_erythroblastic_leukemia_response_to_erythropoietin_12hr.plus	176Epididymis_and_seminiferous_tubule_neonate_N30.plus	342J2E_erythroblastic_leukemia_response_to_erythropoietin_48hr.plus	378Liver_embryo_E18.plus	330J2E_erythroblastic_leukemia_response_to_erythropoietin_03hr00min.plus	324J2E_erythroblastic_leukemia_response_to_erythropoietin_01hr40min.plus	380Liver_neonate_N00.plus	328J2E_erythroblastic_leukemia_response_to_erythropoietin_02hr30min.plus
Snhg6_1	153ES_Ert2_embryonic_stem_cells_untreated_control_48hr.minus	151ES_Ert2_embryonic_stem_cells_tamoxifen_treated_48hr.minus	43CD4CD25_CD44_naive_conventional_T_cells_antiCD3_CD28_stimulation_06hr.minus	105EBF_KO_HPCs_induced_to_T_cell_00hr00min.minus	889Tracheal_epithelial_cells_differentiation_to_ciliated_epithelial_cells_000hr.minus	891Tracheal_epithelial_cells_differentiation_to_ciliated_epithelial_cells_004hr.minus	893Tracheal_epithelial_cells_differentiation_to_ciliated_epithelial_cells_008hr.minus	113EBF_KO_HPCs_induced_to_T_cell_04hr.minus	127EBF_KO_HPCs_induced_to_T_cell_day03.minus	459Macrophage_TB_infection_stimulated_BMDMIFNg_caMph_with_Mtb_120hr_096h_after_stimulation_.minus	939Trophoblast_stem_cell_line_R1AB_differentiation_day00.minus	41CD4CD25_CD44_naive_conventional_T_cells_PMA_and_ionomycin_stimulation_02hr.minus	161ES_OS25_embryonic_stem_cells_aminitin_treatment_for_7hr.minus	107EBF_KO_HPCs_induced_to_T_cell_00hr30min.minus	457Macrophage_TB_infection_stimulated_BMDMIFNg_caMph_with_Mtb_072hr_048h_after_stimulation_.minus	135ES_46C_derived_epistem_cells.minus	155ES_OS25_embryonic_stem_cells_DMSO_control.minus	167ES_OS25_embryonic_stem_cells_untreated_control.minus	899Tracheal_epithelial_cells_differentiation_to_ciliated_epithelial_cells_020hr.minus	111EBF_KO_HPCs_induced_to_T_cell_02hr.minus
Gm7568_1	838Testis_adult.plus	88Clontech_Mouse_Universal_Reference_Total_RNA.plus	858Testis_neonate_N30.plus	722SABiosciences_XpressRef_Mouse_Universal_Total_RNA.plus	968Universal_RNA_Mouse_Normal_Tissues_Biochain.plus	770ST2_Mesenchymal_stem_cells_cells_differentiation_to_osteocytes_24hr.plus	76Cerebellum_embryo_E18.plus	82Cerebellum_neonate_N06.plus	70Cerebellum_embryo_E15.plus	84Cerebellum_neonate_N09.plus	136ES_46C_derived_epistem_cells.plus	324J2E_erythroblastic_leukemia_response_to_erythropoietin_01hr40min.plus	68Cerebellum_embryo_E14.plus	110EBF_KO_HPCs_induced_to_T_cell_01hr.plus	316J2E_erythroblastic_leukemia_response_to_erythropoietin_00hr30min.plus	528Macrophage_TB_infection_stimulated_BMDMIL_4IL_13_aaMph_without_Mtb_004hr.plus	534Macrophage_TB_infection_stimulated_BMDMIL_4IL_13_aaMph_without_Mtb_024hr.plus	544Macrophage_TB_infection_stimulated_BMDMIL_4IL_13_aaMph_without_Mtb_120hr.plus	586Mesoderm_embryo_E8.5.plus	764ST2_Mesenchymal_stem_cells_cells_differentiation_to_osteocytes_06hr.plus
Gm28756_1	619Mouse_Neurons_hippocampal.minus	67Cerebellum_embryo_E14.minus	71Cerebellum_embryo_E16.minus	623Mouse_Neurons_striatal.minus	69Cerebellum_embryo_E15.minus	73Cerebellum_embryo_E17.minus	65Cerebellum_embryo_E13.minus	77Cerebellum_neonate_N00.minus	75Cerebellum_embryo_E18.minus	79Cerebellum_neonate_N03.minus	627Mouse_Neurons_ventral_spinal_cord.minus	625Mouse_Neurons_substantia_nigra.minus	95Corpus_striatum_neonate_N00.minus	273Hippocampus_neonate_N00.minus	81Cerebellum_neonate_N06.minus	607Mouse_Granule_cells.minus	621Mouse_Neurons_raphe.minus	583Medulla_oblongata_neonate_N30.minus	91Corpora_quadrigemina_adult.minus	615Mouse_Neurons_cortical.minus
4930486I03Rik_1	88Clontech_Mouse_Universal_Reference_Total_RNA.plus	838Testis_adult.plus	858Testis_neonate_N30.plus	968Universal_RNA_Mouse_Normal_Tissues_Biochain.plus	722SABiosciences_XpressRef_Mouse_Universal_Total_RNA.plus	66Cerebellum_embryo_E13.plus	70Cerebellum_embryo_E15.plus	124EBF_KO_HPCs_induced_to_T_cell_24hr.plus	456Macrophage_TB_infection_stimulated_BMDMIFNg_caMph_with_Mtb_048hr_024h_after_stimulation_.plus	900Tracheal_epithelial_cells_differentiation_to_ciliated_epithelial_cells_020hr.plus	16Adrenal_gland_neonate_N25.plus	38CD41_megakaryocyte_control.plus	42CD4CD25_CD44_naive_conventional_T_cells_PMA_and_ionomycin_stimulation_02hr.plus	72Cerebellum_embryo_E16.plus	78Cerebellum_neonate_N00.plus	82Cerebellum_neonate_N06.plus	84Cerebellum_neonate_N09.plus	92Corpora_quadrigemina_adult.plus	112EBF_KO_HPCs_induced_to_T_cell_02hr.plus	152ES_Ert2_embryonic_stem_cells_tamoxifen_treated_48hr.plus
Gm28653_1	26Bone_os_femoris_neonate_N02.plus	1012Whole_body_neonate_N01.plus	1014Whole_body_neonate_N06.plus	1016Whole_body_neonate_N10.plus	1010Whole_body_neonate_N00.plus	1008Whole_body_embryo_E18.plus	192Eyeball_neonate_N02.plus	188Eyeball_neonate_N00.plus	190Eyeball_neonate_N01.plus	792Skin_neonate_N03.plus	186Eyeball_embryo_E17.plus	1006Whole_body_embryo_E17.plus	28Bone_os_femoris_neonate_N16.plus	642Muscle_biceps_femoris_neonate_N30.plus	998Whole_body_embryo_E14.5.plus	1002Whole_body_embryo_E16.plus	888Tongue_adult.plus	1004Whole_body_embryo_E17.5.plus	204Forelimb_embryo_E14.plus	184Eyeball_embryo_E15.plus
