LOC123403204_1	LOC123403204
LOC123394902_1	LOC123394902
LOC123394901_1	LOC123394901
LOC123404718_1	LOC123404718
LOC123415192_1	LOC123415192
LOC123425748_1	LOC123425748
LOC123425748_2	LOC123425748
LOC123426545_1	LOC123426545
LOC123426545_2	LOC123426545
LOC123427420_1	LOC123427420
LOC123428321_1	LOC123428321
LOC123430374_2	LOC123430374
LOC123430374_1	LOC123430374
LOC123431412_1	LOC123431412
LOC123403246_1	LOC123403246
LOC123432862_1	LOC123432862
LOC123403273_1	LOC123403273
LOC123403279_2	LOC123403279
LOC123403279_1	LOC123403279
LOC123403289_1	LOC123403289
LOC123403300_1	LOC123403300
LOC123435512_2	LOC123435512
LOC123435512_1	LOC123435512
LOC123403311_1	LOC123403311
LOC123403323_1	LOC123403323
LOC123437092_1	LOC123437092
LOC123438681_1	LOC123438681
LOC123403334_1	LOC123403334
LOC123403342_1	LOC123403342
LOC123441976_1	LOC123441976
LOC123442905_1	LOC123442905
LOC123442905_2	LOC123442905
LOC123444806_1	LOC123444806
LOC123445732_1	LOC123445732
LOC123447868_1	LOC123447868
LOC123403372_1	LOC123403372
LOC123449217_1	LOC123449217
LOC123451128_1	LOC123451128
LOC123453055_1	LOC123453055
LOC123394903_1	LOC123394903
LOC123452272_1	LOC123452272
LOC123395787_1	LOC123395787
LOC123396758_1	LOC123396758
LOC123397780_1	LOC123397780
LOC123399751_1	LOC123399751
LOC123400975_1	LOC123400975
LOC123402789_1	LOC123402789
LOC123406393_1	LOC123406393
LOC123407503_1	LOC123407503
LOC123408444_1	LOC123408444
LOC123409417_1	LOC123409417
LOC123410366_1	LOC123410366
LOC123412013_1	LOC123412013
LOC123453131_1	LOC123453131
LOC123414127_1	LOC123414127
LOC123417298_1	LOC123417298
LOC123418852_1	LOC123418852
LOC123421867_1	LOC123421867
LOC123423399_1	LOC123423399
LOC123403563_1	LOC123403563
LOC123403574_1	LOC123403574
LOC123403585_1	LOC123403585
LOC123403595_1	LOC123403595
LOC123403605_1	LOC123403605
LOC123403613_1	LOC123403613
LOC123403624_1	LOC123403624
LOC123403634_1	LOC123403634
LOC123403652_1	LOC123403652
LOC123403661_1	LOC123403661
LOC123403687_1	LOC123403687
LOC123403709_1	LOC123403709
LOC123403730_1	LOC123403730
LOC123425413_1	LOC123425413
LOC123425718_1	LOC123425718
LOC123425794_1	LOC123425794
LOC123425878_1	LOC123425878
LOC123426013_1	LOC123426013
LOC123426172_1	LOC123426172
LOC123403749_1	LOC123403749
LOC123426302_1	LOC123426302
LOC123426386_1	LOC123426386
LOC123426463_1	LOC123426463
LOC123426546_1	LOC123426546
LOC123426688_1	LOC123426688
LOC123403765_1	LOC123403765
LOC123403783_1	LOC123403783
LOC123426778_1	LOC123426778
LOC123403792_1	LOC123403792
LOC123426871_1	LOC123426871
LOC123426871_2	LOC123426871
LOC123403821_1	LOC123403821
LOC123427016_1	LOC123427016
LOC123403832_1	LOC123403832
LOC123427102_1	LOC123427102
LOC123427365_1	LOC123427365
LOC123427449_1	LOC123427449
LOC123427537_1	LOC123427537
LOC123403860_1	LOC123403860
LOC123427838_1	LOC123427838
LOC123428198_1	LOC123428198
LOC123428290_1	LOC123428290
LOC123428386_1	LOC123428386
LOC123429640_1	LOC123429640
LOC123430031_1	LOC123430031
LOC123403965_1	LOC123403965
LOC123430202_1	LOC123430202
LOC123430406_1	LOC123430406
LOC123430580_1	LOC123430580
LOC123431011_1	LOC123431011
LOC123404012_1	LOC123404012
LOC123404021_1	LOC123404021
LOC123431097_1	LOC123431097
LOC123436519_1	LOC123436519
LOC123438045_1	LOC123438045
LOC123404207_1	LOC123404207
LOC123404218_1	LOC123404218
LOC123438203_1	LOC123438203
LOC123404228_1	LOC123404228
LOC123438363_1	LOC123438363
LOC123438682_1	LOC123438682
LOC123438523_1	LOC123438523
LOC123438842_1	LOC123438842
LOC123438999_1	LOC123438999
LOC123439193_1	LOC123439193
LOC123439439_1	LOC123439439
LOC123439653_1	LOC123439653
LOC123440009_1	LOC123440009
LOC123440353_1	LOC123440353
LOC123404326_1	LOC123404326
LOC123441025_1	LOC123441025
LOC123441134_1	LOC123441134
LOC123441354_1	LOC123441354
LOC123404366_1	LOC123404366
LOC123441568_1	LOC123441568
LOC123441665_1	LOC123441665
LOC123441768_1	LOC123441768
LOC123441872_1	LOC123441872
LOC123441977_1	LOC123441977
LOC123442184_1	LOC123442184
LOC123442184_2	LOC123442184
LOC123404411_1	LOC123404411
LOC123442292_1	LOC123442292
LOC123404467_1	LOC123404467
LOC123443121_1	LOC123443121
LOC123443201_1	LOC123443201
LOC123443280_1	LOC123443280
LOC123404476_1	LOC123404476
LOC123404483_1	LOC123404483
LOC123404500_1	LOC123404500
LOC123395256_1	LOC123395256
LOC123443447_1	LOC123443447
LOC123443634_1	LOC123443634
LOC123395272_1	LOC123395272
LOC123443788_1	LOC123443788
LOC123443872_1	LOC123443872
LOC123443947_1	LOC123443947
LOC123404509_1	LOC123404509
LOC123444024_1	LOC123444024
LOC123404543_1	LOC123404543
LOC123404553_1	LOC123404553
LOC123444202_1	LOC123444202
LOC123444281_1	LOC123444281
LOC123444377_1	LOC123444377
LOC123444467_1	LOC123444467
LOC123404580_1	LOC123404580
LOC123395479_1	LOC123395479
LOC123444543_1	LOC123444543
LOC123444691_1	LOC123444691
LOC123445670_1	LOC123445670
LOC123445865_1	LOC123445865
LOC123446174_1	LOC123446174
LOC123446749_1	LOC123446749
LOC123447023_1	LOC123447023
LOC123404801_1	LOC123404801
LOC123447118_1	LOC123447118
LOC123447706_1	LOC123447706
LOC123447615_1	LOC123447615
LOC123447786_1	LOC123447786
LOC123447869_1	LOC123447869
LOC123448093_1	LOC123448093
LOC123448005_1	LOC123448005
LOC123448172_1	LOC123448172
LOC123448448_1	LOC123448448
LOC123448641_1	LOC123448641
LOC123448641_2	LOC123448641
LOC123448805_1	LOC123448805
LOC123448724_1	LOC123448724
LOC123449137_1	LOC123449137
LOC123448988_1	LOC123448988
LOC123449465_1	LOC123449465
LOC123449325_1	LOC123449325
LOC123449645_1	LOC123449645
LOC123449729_1	LOC123449729
LOC123449823_1	LOC123449823
LOC123404879_1	LOC123404879
LOC123404890_1	LOC123404890
LOC123404938_1	LOC123404938
LOC123449915_1	LOC123449915
LOC123450004_1	LOC123450004
LOC123450205_1	LOC123450205
LOC123404968_1	LOC123404968
LOC123450541_1	LOC123450541
LOC123450639_1	LOC123450639
LOC123450919_1	LOC123450919
LOC123450812_1	LOC123450812
LOC123451020_1	LOC123451020
LOC123451129_1	LOC123451129
LOC123451228_1	LOC123451228
LOC123404979_1	LOC123404979
LOC123451386_1	LOC123451386
LOC123451547_1	LOC123451547
LOC123451813_1	LOC123451813
LOC123452028_1	LOC123452028
LOC123452215_1	LOC123452215
LOC123452299_1	LOC123452299
LOC123405016_1	LOC123405016
LOC123452461_1	LOC123452461
LOC123452640_1	LOC123452640
LOC123452556_1	LOC123452556
LOC123452730_1	LOC123452730
LOC123452825_1	LOC123452825
LOC123405097_1	LOC123405097
LOC123405097_2	LOC123405097
LOC123453166_1	LOC123453166
LOC123405116_1	LOC123405116
LOC123405127_1	LOC123405127
LOC123394952_1	LOC123394952
LOC123395039_2	LOC123395039
LOC123395039_1	LOC123395039
LOC123405161_1	LOC123405161
LOC123395130_1	LOC123395130
LOC123395448_1	LOC123395448
LOC123395947_1	LOC123395947
LOC123405220_1	LOC123405220
LOC123405231_1	LOC123405231
LOC123396337_1	LOC123396337
LOC123405272_1	LOC123405272
